"LOA DATE",PRODUCT,MODEL,"PRIMARY VIOLATION",CITATION,"ACTION REQUESTED",FIRM,"ADDRESS 1","ADDRESS 2","FOREIGN MFG","LOT SIZE",COUNTRY
"September 2017","HORSE COSTUME",1541P,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","FUN WORLD, DIV OF EASTER UNLIMITED INC.","80 VOICE RD.","CARLE PLACE, NY 11514","LINQU TENGFEI CLOTHING CO LTD",180,CHINA
"September 2017","DRAGON COSTUME",1541D,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","FUN WORLD, DIV OF EASTER UNLIMITED INC","80 VOICE RD.","CARLE PLACE, NY 11514","LINQU TENGFEI CLOTHING CO LTD",180,CHINA
"September 2017","UNICORN COSTUME",2449,"Exceeds Phthalate Permanent Ban Limit","15 U.S.C. § 2063(a)(2)","Stop Sale and Correct Future Production","FUN WORLD, DIV OF EASTER UNLIMITED INC.","80 VOICE RD.","CARLE PLACE, NY 11514","LINQU TENGFEI CLOTHING CO LTD",750,CHINA
"September 2017","ACRYLIC PAINT",DT-103,"Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","J&C TRADING COMPANY LTD.","UNIT B 19/F 89-91 WING LOK ST","SHEUNG WAN HONG KONG, FN,","XIAMEN DIAN TONG INFORMATION TECHNOLOGY CO LTD",1000,CHINA
"September 2017","EMOJI PUTTY", ,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","IBS, LLC","8025 ATLANTA NEWNAN RD","CHATTAHOOCHEE HILLS, GA 302682","HEADQUARTERS 1 ROOM 801 SOUTH BUSIN RILL",18432,CHINA
"August 2017","PENCIL CASE",116338,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","J. PICA AND CO - PUERTO RICO","CALLE A, ESQ. ESCORIAL","SAN JUAN, PR 00920","GRUPO RUZ S.A. DE C.V.",429,CHINA
"August 2017","PENCIL CASE",119934,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","J. PICA AND CO - PUERTO RICO","CALLE A, ESQ. ESCORIAL","SAN JUAN, PR 00920","GRUPO RUZ S.A. DE C.V.",432,CHINA
"August 2017","14X9 BALL GUN",278379,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","MAGIC SOURCE INTERNATIONAL LTD","2445 E. DOMINGUEZ ST.","CARSON, CA 90810","GAO MEI TRADING COMPANY",1081,CHINA
"August 2017","STAR WARS CHILDREN'S BACKPACK",HEYS,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","AHMEDANI CANADA","3550 CAWTHRA RD","MISSISSAUGA ON CANADA, L5A2Y3","HEYS INTERNATIONAL",25,CHINA
"August 2017","PEGBOARD PATTERN CARDS WITH PE","SK 038","Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","EDUCATIONAL TREASURES INC","168 TAMALPAIS CRT","APTOS, CA 95003","SHANGHAI HOWCREATION INDUSTRIES CO.,LTD",2000,CHINA
"August 2017","HAPE CREATE AND DISPLAY EASEL",E1055A,"Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","HAPE TOYS","123 CREE RD.","SHERWOOD PARK AB T8A 3X9, CANA","HAPE INTERNATIONAL (NINGBO) LTD",41,CHINA
"August 2017","20 COLOR CHANGER PENCILS",200104,"Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","BC IMPORTS DBA: BC OFFICE PRODUCTS","101 QUINT STREET","SAN FRANCISCO, CA 94124","HIDEO YAMAZAKI",3000,CHINA
"August 2017","COLOR PAINT",22315-29,"Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","SUPER ORIENTAL LLC","605 CALLE SAN JORGE STE 305","SAN JUAN, PR 00909","JINGNING SHUN SINCERITY TRADE CO., LTD",216,CHINA
"August 2017","CHALK AND ERASER SET",22315-24,"Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","SUPER ORIENTAL LLC","605 CALLE SAN JORGE STE 305","SAN JUAN, PR 00909","JINGNING SHUN SINCERITY TRADE CO., LTD",192,CHINA
"August 2017",CRAYONS,"VARIOUS, SEE RE","Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","SUPER ORIENTAL LLC","605 CALLE SAN JORGE STE 305","SAN JUAN, PR 00909","JINGNING SHUN SINCERITY TRADE CO., LTD",1008,CHINA
"August 2017","COLOR PENCILS","VARIOUS, SEE RE","Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","SUPER ORIENTAL LLC","605 CALLE SAN JORGE STE 305","SAN JUAN, PR 00909","JINGNING SHUN SINCERITY TRADE CO., LTD",840,CHINA
"August 2017","COLOR PENS","VARIOUS, SEE RE","Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","SUPER ORIENTAL LLC","605 CALLE SAN JORGE STE 305","SAN JUAN, PR 00909","JINGNING SHUN SINCERITY TRADE CO., LTD",1920,CHINA
